order_id,order_date,ship_date,customer_id,product_id,quantity,unit_price_gbp,status
O60086,2025-09-22,2025-09-28,C40147,P50047,9,111.89,Shipped
O60087,2024-05-28,2024-06-02,C40006,P50049,2,58.63,Shipped
O60088,2024-09-28,2024-10-02,C40156,P50015,5,36.92,Shipped
O60089,2025-07-26,2025-08-03,C40164,P50058,4,78.53,Shipped
O60090,2025-05-19,2025-05-27,C40119,P50052,9,38.08,Shipped
O60091,2024-08-06,2024-08-08,C40211,P50059,7,101.28,Shipped
O60092,2024-07-11,2024-07-12,C40175,P50045,8,56.53,Shipped
O60093,2024-11-12,2024-11-20,C40109,P50034,4,122.95,Pending
O60094,2024-11-22,2024-11-30,C40215,P50058,8,79.36,Shipped
O60095,2024-02-13,2024-02-13,C40035,P50041,1,121.65,Cancelled
O60096,2024-06-26,2024-06-30,C40151,P50049,9,67.98,Shipped
O60097,2024-04-22,2024-04-27,C40042,P50024,3,68.42,Pending
O60098,2024-04-22,2024-04-22,C40180,P50014,5,61.34,Shipped
O60099,2024-09-15,2024-09-21,C40005,P50034,7,201.37,Shipped
O60100,2024-01-27,2024-02-05,C40257,P50024,7,93.21,Shipped
O60101,2025-05-09,2025-05-11,C40009,P50021,2,121.77,Shipped
O60102,2025-05-05,2025-05-12,C40149,P50041,5,130.72,Shipped
O60103,2024-06-10,2024-06-10,C40199,P50036,5,55.54,Shipped
O60104,2025-10-01,2025-10-03,C40124,P50018,7,59.1,Shipped
O60105,2025-03-10,2025-03-15,C40064,P50014,3,65.11,Shipped
O60106,2024-08-17,2024-08-26,C40074,P50032,7,135.87,Shipped
O60107,2024-05-21,2024-05-29,C40252,P50019,6,61.75,Shipped
O60108,2024-11-09,2024-11-18,C40039,P50014,7,82.76,Pending
O60109,2025-12-02,2025-12-11,C40213,P50013,8,45.03,Shipped
O60110,2024-01-03,2024-01-11,C40087,P50039,4,74.16,Shipped
O60111,2024-01-15,2024-01-18,C40003,P50024,4,98.69,Shipped
O60112,2024-10-28,2024-10-29,C40121,P50020,8,118.86,Shipped
O60113,2025-11-02,2025-11-10,C40028,P50006,8,50.35,Shipped
O60114,2024-07-24,2024-07-25,C40229,P50003,8,76.83,Shipped
O60115,2025-06-30,2025-07-05,C40230,P50041,5,97.59,Shipped
O60116,2025-02-23,2025-03-02,C40065,P50058,6,59.04,Shipped
O60117,2024-05-25,2024-05-25,C40231,P50019,1,68.64,Shipped
O60118,2025-10-26,2025-11-04,C40210,P50050,5,34.55,Shipped
O60119,2024-04-29,2024-05-02,C40202,P50036,3,79.94,Shipped
O60120,2025-01-04,2025-01-06,C40023,P50018,8,65.32,Shipped
O60121,2025-04-29,2025-05-02,C40038,P50034,2,139.31,Shipped
O60122,2025-05-08,2025-05-12,C40047,P50007,8,81.14,Shipped
O60123,2025-09-16,2025-09-20,C40245,P50020,8,137.27,Shipped
O60124,2025-05-30,2025-05-31,C40097,P50044,5,75.94,Shipped
O60125,2025-04-25,2025-04-26,C40158,P50051,7,88.0,Shipped
O60126,2024-04-21,2024-04-25,C40140,P50013,6,42.11,Shipped
O60127,2024-08-12,2024-08-14,C40299,P50054,7,60.84,Shipped
O60128,2024-09-10,2024-09-16,C40054,P50036,7,86.33,Shipped
O60129,2024-09-28,2024-10-06,C40233,P50013,3,41.85,Shipped
O60130,2024-03-23,2024-03-23,C40033,P50046,7,75.09,Shipped
O60131,2024-03-10,2024-03-10,C40293,P50052,9,36.55,Shipped
O60132,2024-11-18,2024-11-24,C40169,P50016,3,116.69,Shipped
O60133,2025-06-12,2025-06-12,C40079,P50006,3,67.15,Shipped
O60134,2025-10-10,2025-10-16,C40123,P50017,3,146.74,Shipped
O60135,2025-11-18,2025-11-22,C40218,P50045,9,37.24,Pending
O60136,2024-12-17,2024-12-21,C40124,P50003,8,70.23,Pending
O60137,2025-10-18,2025-10-24,C40020,P50017,4,111.13,Shipped
O60138,2024-11-29,2024-12-07,C40092,P50019,9,60.57,Shipped
O60139,2024-12-12,2024-12-13,C40274,P50001,7,134.5,Shipped
O60140,2024-06-02,2024-06-03,C40111,P50035,4,137.06,Shipped
O60141,2025-04-04,2025-04-10,C40147,P50048,8,73.29,Shipped
O60142,2024-08-14,2024-08-14,C40055,P50009,9,128.87,Pending
O60143,2024-12-20,2024-12-24,C40008,P50053,8,141.39,Shipped
O60144,2025-11-15,2025-11-19,C40081,P50057,5,61.83,Shipped
O60145,2025-02-03,2025-02-06,C40260,P50052,2,49.84,Shipped
O60146,2024-08-09,2024-08-14,C40162,P50043,2,77.84,Shipped
O60147,2025-05-05,2025-05-06,C40113,P50026,8,79.88,Shipped
O60148,2025-06-18,2025-06-20,C40156,P50012,7,74.74,Pending
O60149,2025-03-19,2025-03-19,C40243,P50054,7,68.79,Shipped
O60150,2024-01-31,2024-02-09,C40271,P50031,1,11.86,Shipped
O60151,2024-06-14,2024-06-22,C40095,P50027,9,77.42,Shipped
O60152,2024-04-03,2024-04-05,C40249,P50023,2,79.26,Shipped
O60153,2025-11-29,2025-11-29,C40240,P50013,6,61.31,Shipped
O60154,2024-08-15,2024-08-17,C40002,P50022,9,41.56,Shipped
O60155,2024-12-12,2024-12-21,C40268,P50047,3,102.87,Shipped
O60156,2025-10-20,2025-10-28,C40068,P50033,5,68.77,Pending
O60157,2025-12-25,2025-12-31,C40229,P50023,8,77.21,Shipped
O60158,2024-06-09,2024-06-18,C40266,P50006,3,59.43,Shipped
O60159,2025-09-20,2025-09-21,C40172,P50024,1,99.02,Shipped
O60160,2025-06-15,2025-06-20,C40094,P50012,5,94.05,Shipped
O60161,2025-03-24,2025-03-31,C40256,P50023,8,96.54,Shipped
O60162,2024-05-02,2024-05-02,C40143,P50008,6,98.94,Shipped
O60163,2025-05-20,2025-05-24,C40230,P50056,4,172.31,Cancelled
O60164,2025-03-23,2025-03-26,C40202,P50010,6,64.97,Shipped
O60165,2024-11-22,2024-11-23,C40096,P50007,1,79.84,Shipped
O60166,2025-03-04,2025-03-06,C40163,P50039,4,67.87,Shipped
O60167,2024-06-03,2024-06-12,C40060,P50020,8,138.73,Shipped
O60168,2025-03-30,2025-04-04,C40001,P50059,4,127.1,Pending
O60169,2024-04-21,2024-04-21,C40206,P50024,9,73.55,Shipped
O60170,2024-07-28,2024-08-03,C40061,P50039,5,51.71,Shipped
O60171,2024-12-27,2025-01-01,C40155,P50050,9,26.8,Shipped
O60172,2024-04-28,2024-05-01,C40030,P50059,6,89.02,Shipped
O60173,2025-10-29,2025-11-01,C40196,P50048,4,81.12,Pending
O60174,2025-10-10,2025-10-15,C40050,P50034,9,155.26,Shipped
O60175,2024-12-12,2024-12-21,C40074,P50048,3,69.28,Shipped
O60176,2025-02-20,2025-02-27,C40044,P50016,4,155.23,Shipped
O60177,2024-08-01,2024-08-05,C40275,P50052,7,58.58,Pending
O60178,2024-06-04,2024-06-06,C40186,P50052,8,49.55,Shipped
O60179,2025-12-03,2025-12-04,C40199,P50023,2,80.56,Shipped
O60180,2024-10-29,2024-10-30,C40121,P50004,9,89.7,Shipped
O60181,2025-11-28,2025-11-29,C40257,P50041,4,109.28,Shipped
O60182,2024-02-19,2024-02-27,C40019,P50006,4,56.49,Shipped
O60183,2024-03-18,2024-03-23,C40124,P50001,2,88.2,Cancelled
O60184,2024-12-13,2024-12-13,C40024,P50056,1,184.95,Shipped
O60185,2025-07-25,2025-08-03,C40209,P50034,6,157.1,Pending
O60186,2024-11-05,2024-11-06,C40285,P50039,6,55.66,Shipped
O60187,2025-09-05,2025-09-11,C40229,P50052,1,52.73,Cancelled
O60188,2024-04-07,2024-04-07,C40046,P50055,9,75.08,Shipped
O60189,2025-09-17,2025-09-22,C40236,P50057,5,69.42,Shipped
O60190,2024-11-20,2024-11-25,C40076,P50007,1,65.19,Shipped
O60191,2024-07-27,2024-08-05,C40104,P50019,8,50.1,Shipped
O60192,2025-04-12,2025-04-18,C40172,P50046,2,72.67,Shipped
O60193,2025-07-23,2025-07-27,C40135,P50001,7,110.59,Shipped
O60194,2025-11-09,2025-11-14,C40056,P50014,7,58.88,Shipped
O60195,2024-03-05,2024-03-11,C40158,P50030,8,41.07,Shipped
O60196,2025-05-29,2025-06-02,C40059,P50020,8,144.13,Shipped
O60197,2024-08-17,2024-08-24,C40215,P50010,9,61.44,Shipped
O60198,2025-01-02,2025-01-07,C40021,P50053,1,140.5,Shipped
O60199,2024-12-03,2024-12-12,C40243,P50026,4,100.02,Shipped
O60200,2025-07-16,2025-07-17,C40294,P50024,4,70.89,Shipped
O60201,2024-10-18,2024-10-25,C40223,P50039,4,65.49,Shipped
O60202,2024-07-23,2024-07-31,C40181,P50040,3,7.91,Shipped
O60203,2024-12-22,2024-12-29,C40132,P50029,3,81.89,Shipped
O60204,2025-05-03,2025-05-12,C40158,P50053,9,148.61,Shipped
O60205,2025-09-10,2025-09-14,C40153,P50017,9,131.3,Shipped
O60206,2024-01-04,2024-01-09,C40266,P50052,7,41.48,Shipped
O60207,2025-02-19,2025-02-20,C40038,P50052,5,39.3,Pending
O60208,2024-02-23,2024-02-26,C40178,P50000,5,168.63,Shipped
O60209,2025-03-29,2025-03-30,C40164,P50045,7,35.62,Pending
O60210,2025-04-01,2025-04-08,C40078,P50009,8,155.85,Shipped
O60211,2025-09-17,2025-09-24,C40123,P50029,4,65.03,Pending
O60212,2024-05-20,2024-05-21,C40141,P50055,5,87.18,Pending
O60213,2025-08-03,2025-08-11,C40010,P50011,9,92.62,Shipped
O60214,2025-05-18,2025-05-21,C40143,P50033,9,53.66,Pending
O60215,2025-05-01,2025-05-08,C40051,P50046,3,60.61,Shipped
O60216,2025-04-10,2025-04-19,C40119,P50028,3,55.69,Shipped
O60217,2025-02-05,2025-02-13,C40083,P50004,2,79.02,Shipped
O60218,2024-02-16,2024-02-17,C40226,P50003,1,59.24,Shipped
O60219,2025-08-17,2025-08-18,C40288,P50031,7,16.23,Shipped
O60220,2024-10-13,2024-10-14,C40032,P50001,4,122.39,Shipped
O60221,2024-03-17,2024-03-25,C40077,P50000,1,124.97,Shipped
O60222,2025-03-24,2025-03-29,C40047,P50057,2,83.87,Shipped
O60223,2025-11-23,2025-11-24,C40145,P50031,5,17.67,Shipped
O60224,2025-06-05,2025-06-10,C40111,P50028,8,85.52,Cancelled
O60225,2024-06-28,,C40136,P50006,6,57.37,Cancelled
O60226,2025-08-19,2025-08-24,C40021,P50047,5,104.99,Shipped
O60227,2025-09-10,2025-09-16,C40261,P50030,2,44.0,Pending
O60228,2024-08-29,2024-08-30,C40296,P50013,3,64.09,Shipped
O60229,2025-01-17,2025-01-20,C40273,P50045,8,57.88,Shipped
O60230,2025-09-03,2025-09-10,C40148,P50014,7,81.42,Shipped
O60231,2024-04-25,2024-05-04,C40200,P50030,8,37.53,Shipped
O60232,2024-09-15,2024-09-17,C40015,P50033,5,75.14,Shipped
O60233,2024-11-29,2024-12-04,C40183,P50016,3,126.87,Shipped
O60234,2024-01-06,2024-01-15,C40182,P50052,5,41.42,Pending
O60235,2024-05-02,2024-05-08,C40220,P50042,9,110.71,Shipped
O60236,2025-03-21,2025-03-23,C40234,P50017,2,166.79,Pending
O60237,2024-07-11,2024-07-16,C40000,P50009,8,99.43,Shipped
O60238,2024-06-25,2024-06-25,C40122,P50019,9,51.87,Shipped
O60239,2024-08-04,2024-08-08,C40145,P50027,8,75.38,Shipped
O60240,2024-03-31,2024-04-05,C40144,P50033,6,55.28,Pending
O60241,2025-04-10,2025-04-10,C40164,P50024,4,94.06,Shipped
O60242,2024-07-07,2024-07-09,C40210,P50002,8,34.83,Shipped
O60243,2025-04-21,2025-04-30,C40176,P50040,2,7.27,Pending
O60244,2025-08-28,2025-09-03,C40070,P50022,7,54.66,Shipped
O60245,2024-12-15,2024-12-19,C40199,P50020,4,155.07,Shipped
O60246,2025-10-30,2025-11-01,C40179,P50033,5,61.65,Shipped
O60247,2024-05-23,2024-05-24,C40059,P50050,5,26.25,Shipped
O60248,2025-12-04,2025-12-08,C40189,P50000,1,121.58,Shipped
O60249,2024-08-23,2024-08-28,C40156,P50057,9,65.43,Shipped
O60250,2024-08-09,2024-08-10,C40241,P50038,7,147.24,Shipped
O60251,2025-12-17,2025-12-25,C40117,P50032,6,114.67,Shipped
O60252,2024-11-29,2024-12-03,C40267,P50003,1,88.59,Pending
O60253,2025-06-30,2025-06-30,C40160,P50042,8,104.99,Shipped
O60254,2025-08-09,2025-08-10,C40282,P50043,9,100.01,Shipped
O60255,2024-11-23,2024-12-01,C40030,P50033,8,46.53,Shipped
O60256,2024-08-20,2024-08-23,C40037,P50048,3,93.36,Shipped
O60257,2024-12-25,2024-12-28,C40065,P50050,2,25.67,Shipped
O60258,2024-10-08,2024-10-09,C40244,P50050,4,40.6,Shipped
O60259,2024-10-31,2024-11-08,C40152,P50019,1,61.89,Shipped
O60260,2024-06-22,2024-06-30,C40202,P50040,5,7.86,Pending
O60261,2025-10-30,2025-11-01,C40005,P50003,5,68.62,Shipped
O60262,2025-02-22,2025-03-01,C40111,P50033,5,57.05,Shipped
O60263,2025-08-05,2025-08-09,C40106,P50008,9,137.89,Shipped
O60264,2025-04-26,2025-04-27,C40276,P50018,6,75.87,Shipped
O60265,2024-09-15,2024-09-22,C40031,P50040,4,7.66,Shipped
O60266,2024-08-20,2024-08-20,C40258,P50025,8,61.37,Shipped
O60267,2025-12-19,2025-12-27,C40110,P50051,4,86.25,Shipped
O60268,2024-01-18,2024-01-18,C40232,P50005,7,79.76,Shipped
O60269,2024-08-03,2024-08-06,C40087,P50058,9,86.63,Cancelled
O60270,2025-06-21,2025-06-23,C40017,P50042,9,93.95,Shipped
O60271,2025-02-03,2025-02-05,C40203,P50025,5,75.0,Shipped
O60272,2025-03-26,2025-03-30,C40053,P50001,5,110.57,Shipped
O60273,2024-01-16,2024-01-23,C40044,P50002,4,34.16,Shipped
O60274,2024-06-09,2024-06-12,C40275,P50024,5,65.56,Shipped
O60275,2025-03-14,2025-03-19,C40067,P50034,9,190.04,Shipped
O60276,2024-08-18,2024-08-27,C40294,P50030,8,33.26,Pending
O60277,2024-12-09,2024-12-13,C40104,P50017,6,168.12,Shipped
O60278,2025-11-30,2025-12-07,C40083,P50039,3,63.53,Cancelled
O60279,2025-04-11,2025-04-14,C40136,P50036,4,52.23,Shipped
O60280,2025-04-05,2025-04-05,C40083,P50020,3,126.24,Shipped
O60281,2024-05-23,2024-05-25,C40278,P50019,2,67.94,Shipped
O60282,2025-03-11,2025-03-12,C40183,P50026,1,98.49,Shipped
O60283,2025-12-02,2025-12-11,C40222,P50044,7,93.3,Shipped
O60284,2025-04-12,2025-04-12,C40022,P50035,7,168.11,Cancelled
O60285,2025-07-27,2025-08-04,C40071,P50007,2,70.41,Pending
O60286,2025-11-28,2025-11-29,C40178,P50055,7,85.85,Pending
O60287,2025-10-20,2025-10-21,C40146,P50012,2,79.18,Shipped
O60288,2024-09-05,2024-09-10,C40290,P50040,3,10.27,Cancelled
O60289,2024-08-04,2024-08-04,C40216,P50001,3,104.8,Pending
O60290,2024-07-24,2024-07-24,C40089,P50015,2,46.97,Shipped
O60291,2025-07-17,2025-07-24,C40136,P50033,7,58.89,Shipped
O60292,2024-10-02,2024-10-02,C40222,P50050,1,27.28,Shipped
O60293,2025-08-24,2025-08-29,C40122,P50033,4,65.69,Shipped
O60294,2025-08-08,2025-08-09,C40157,P50003,5,67.68,Shipped
O60295,2025-05-01,2025-05-01,C40239,P50057,6,82.07,Pending
O60296,2024-03-29,2024-04-04,C40086,P50016,2,130.84,Pending
O60297,2025-06-04,2025-06-07,C40029,P50021,5,99.4,Pending
O60298,2024-05-31,2024-05-31,C40123,P50006,8,50.22,Shipped
O60299,2025-02-07,2025-02-13,C40065,P50041,4,123.08,Shipped
O60300,2024-06-15,2024-06-24,C40165,P50026,9,99.33,Shipped
O60301,2024-02-15,2024-02-20,C40255,P50013,4,51.32,Shipped
O60302,2025-04-10,2025-04-13,C40228,P50038,7,89.52,Shipped
O60303,2024-11-25,2024-12-03,C40218,P50011,2,93.11,Pending
O60304,2025-04-13,2025-04-16,C40162,P50031,8,16.88,Shipped
O60305,2024-12-24,2024-12-30,C40266,P50039,5,77.83,Shipped
O60306,2024-09-28,2024-10-02,C40277,P50048,9,77.95,Shipped
O60307,2024-01-12,2024-01-19,C40227,P50041,7,113.91,Shipped
O60308,2024-07-20,2024-07-25,C40035,P50034,7,159.75,Shipped
O60309,2025-10-05,2025-10-09,C40089,P50002,2,47.33,Shipped
O60310,2025-07-05,2025-07-09,C40287,P50013,6,60.23,Cancelled
O60311,2024-12-05,2024-12-07,C40021,P50034,7,138.92,Shipped
O60312,2024-01-24,2024-01-28,C40165,P50032,8,132.81,Shipped
O60313,2025-12-21,2025-12-21,C40191,P50032,4,103.89,Cancelled
O60314,2025-06-24,2025-06-27,C40117,P50044,6,60.35,Shipped
O60315,2024-01-17,2024-01-17,C40211,P50054,2,48.29,Shipped
O60316,2024-06-02,2024-06-05,C40022,P50030,4,27.13,Cancelled
O60317,2024-05-04,2024-05-07,C40065,P50008,5,111.46,Shipped
O60318,2025-10-21,2025-10-21,C40088,P50026,1,81.64,Shipped
O60319,2025-11-28,2025-11-30,C40051,P50015,9,34.03,Shipped
O60320,2024-10-29,2024-11-04,C40131,P50031,6,12.71,Shipped
O60321,2024-05-10,2024-05-19,C40140,P50035,2,119.35,Shipped
O60322,2025-04-14,2025-04-20,C40281,P50032,9,110.02,Shipped
O60323,2024-07-18,2024-07-25,C40145,P50034,7,189.16,Shipped
O60324,2024-03-29,2024-04-04,C40226,P50018,7,75.16,Shipped
O60325,2024-07-08,2024-07-17,C40026,P50010,9,47.94,Shipped
O60326,2024-07-04,2024-07-13,C40017,P50051,4,84.85,Shipped
O60327,2024-02-09,2024-02-10,C40118,P50024,4,82.35,Shipped
O60328,2025-05-27,2025-05-31,C40098,P50012,6,72.57,Shipped
O60329,2024-09-14,2024-09-23,C40277,P50059,8,100.94,Cancelled
O60330,2025-02-06,2025-02-14,C40147,P50001,8,108.24,Shipped
O60331,2025-02-06,2025-02-11,C40146,P50020,8,124.01,Shipped
O60332,2025-07-17,2025-07-21,C40255,P50044,7,87.55,Shipped
O60333,2025-07-11,2025-07-11,C40259,P50024,1,84.51,Shipped
O60334,2025-02-15,2025-02-19,C40232,P50050,5,26.8,Shipped
O60335,2025-09-04,2025-09-09,C40131,P50021,4,100.31,Shipped
O60336,2025-02-20,2025-02-26,C40064,P50038,4,144.32,Shipped
O60337,2024-01-20,2024-01-25,C40010,P50025,8,66.58,Shipped
O60338,2025-09-19,2025-09-21,C40015,P50028,4,74.13,Shipped
O60339,2025-07-16,2025-07-25,C40244,P50029,8,101.79,Shipped
O60340,2024-11-06,2024-11-08,C40039,P50058,9,73.62,Shipped
O60341,2024-10-09,2024-10-12,C40124,P50045,5,37.06,Shipped
O60342,2025-10-16,2025-10-21,C40150,P50022,2,53.84,Shipped
O60343,2024-11-07,2024-11-09,C40166,P50024,7,70.6,Shipped
O60344,2024-09-29,2024-09-29,C40026,P50024,8,92.74,Pending
O60345,2025-06-19,2025-06-25,C40157,P50044,4,75.43,Shipped
O60346,2024-08-28,2024-08-30,C40074,P50035,2,118.54,Shipped
O60347,2024-10-22,2024-10-30,C40102,P50032,5,92.3,Shipped
O60348,2025-07-23,2025-07-30,C40246,P50025,9,57.17,Shipped
O60349,2024-06-12,2024-06-16,C40138,P50023,5,86.32,Shipped
O60350,2024-01-09,2024-01-13,C40120,P50033,5,51.16,Pending
O60351,2024-09-03,2024-09-12,C40004,P50049,4,59.74,Shipped
O60352,2024-05-05,2024-05-05,C40298,P50057,7,71.89,Shipped
O60353,2024-09-21,2024-09-24,C40178,P50003,4,83.28,Shipped
O60354,2024-02-22,2024-02-22,C40226,P50014,7,88.37,Shipped
O60355,2025-03-06,2025-03-07,C40130,P50041,9,122.15,Shipped
O60356,2025-01-09,2025-01-18,C40079,P50008,7,120.84,Pending
O60357,2024-07-18,2024-07-19,C40081,P50036,9,67.69,Shipped
O60358,2025-04-04,2025-04-13,C40002,P50025,8,51.99,Shipped
O60359,2024-04-15,2024-04-22,C40266,P50011,8,84.28,Pending
O60360,2024-01-08,2024-01-14,C40158,P50030,1,26.57,Shipped
O60361,2024-12-14,2024-12-21,C40105,P50030,4,41.94,Shipped
O60362,2024-04-28,2024-04-29,C40211,P50042,3,88.43,Shipped
O60363,2025-09-17,2025-09-18,C40038,P50049,8,55.74,Shipped
O60364,2024-08-09,2024-08-12,C40140,P50057,3,77.92,Shipped
O60365,2024-11-09,2024-11-16,C40131,P50026,9,88.46,Cancelled
O60366,2024-08-03,2024-08-06,C40271,P50041,7,107.41,Shipped
O60367,2024-11-12,2024-11-13,C40239,P50047,2,122.18,Shipped
O60368,2024-03-12,2024-03-19,C40230,P50059,7,125.2,Shipped
O60369,2025-11-13,2025-11-19,C40077,P50039,4,71.6,Shipped
O60370,2024-05-06,2024-05-11,C40156,P50014,3,92.82,Shipped
O60371,2024-10-16,2024-10-20,C40294,P50020,9,107.44,Pending
O60372,2025-09-11,2025-09-18,C40005,P50012,8,94.52,Shipped
O60373,2024-11-07,2024-11-14,C40195,P50011,7,124.39,Shipped
O60374,2025-05-27,2025-05-30,C40101,P50018,3,65.93,Shipped
O60375,2024-02-19,2024-02-20,C40222,P50029,6,96.88,Shipped
O60376,2024-08-04,2024-08-12,C40148,P50047,4,137.64,Shipped
